Input File	Processes Number	Average Iteration Time (ms)
./resources/edgenew1600x1200.pgm	1	5.834729
./resources/edgenew192x128.pgm	1	0.071812
./resources/edgenew256x192.pgm	1	0.136122
./resources/edgenew512x384.pgm	1	0.497462
./resources/edgenew768x768.pgm	1	1.470920
./resources/edgenew1600x1200.pgm	2	2.757928
./resources/edgenew192x128.pgm	2	0.055705
./resources/edgenew256x192.pgm	2	0.099114
./resources/edgenew512x384.pgm	2	0.263430
./resources/edgenew768x768.pgm	2	0.714853
./resources/edgenew1600x1200.pgm	3	2.519306
./resources/edgenew192x128.pgm	3	0.041681
./resources/edgenew256x192.pgm	3	0.062534
./resources/edgenew512x384.pgm	3	0.179393
./resources/edgenew768x768.pgm	3	0.494266
./resources/edgenew1600x1200.pgm	4	2.026108
./resources/edgenew192x128.pgm	4	0.037496
./resources/edgenew256x192.pgm	4	0.054241
./resources/edgenew512x384.pgm	4	0.157530
./resources/edgenew768x768.pgm	4	0.387124
./resources/edgenew1600x1200.pgm	5	1.394329
./resources/edgenew192x128.pgm	5	0.024665
./resources/edgenew256x192.pgm	5	0.047319
./resources/edgenew512x384.pgm	5	0.123826
./resources/edgenew768x768.pgm	5	0.289256
./resources/edgenew1600x1200.pgm	7	1.038934
./resources/edgenew192x128.pgm	7	0.022420
./resources/edgenew256x192.pgm	7	0.035537
./resources/edgenew512x384.pgm	7	0.098842
./resources/edgenew768x768.pgm	7	0.224195
./resources/edgenew1600x1200.pgm	8	1.179098
./resources/edgenew192x128.pgm	8	0.022551
./resources/edgenew256x192.pgm	8	0.033509
./resources/edgenew512x384.pgm	8	0.095196
./resources/edgenew768x768.pgm	8	0.199393
./resources/edgenew1600x1200.pgm	11	0.827122
./resources/edgenew192x128.pgm	11	0.016808
./resources/edgenew256x192.pgm	11	0.026336
./resources/edgenew512x384.pgm	11	0.085203
./resources/edgenew768x768.pgm	11	0.224694
./resources/edgenew1600x1200.pgm	12	0.778360
./resources/edgenew192x128.pgm	12	0.015388
./resources/edgenew256x192.pgm	12	0.029408
./resources/edgenew512x384.pgm	12	0.084961
./resources/edgenew768x768.pgm	12	0.213727
./resources/edgenew1600x1200.pgm	16	0.636641
./resources/edgenew192x128.pgm	16	0.025719
./resources/edgenew256x192.pgm	16	0.025658
./resources/edgenew512x384.pgm	16	0.067759
./resources/edgenew768x768.pgm	16	0.170276
./resources/edgenew1600x1200.pgm	20	0.467518
./resources/edgenew192x128.pgm	20	0.015621
./resources/edgenew256x192.pgm	20	0.021531
./resources/edgenew512x384.pgm	20	0.055180
./resources/edgenew768x768.pgm	20	0.140646
./resources/edgenew1600x1200.pgm	24	0.357688
./resources/edgenew192x128.pgm	24	0.014065
./resources/edgenew256x192.pgm	24	0.019201
./resources/edgenew512x384.pgm	24	0.047420
./resources/edgenew768x768.pgm	24	0.115898
./resources/edgenew1600x1200.pgm	26	0.321828
./resources/edgenew192x128.pgm	26	0.012214
./resources/edgenew256x192.pgm	26	0.015853
./resources/edgenew512x384.pgm	26	0.039029
./resources/edgenew768x768.pgm	26	0.101630
./resources/edgenew1600x1200.pgm	32	0.264849
./resources/edgenew192x128.pgm	32	0.012125
./resources/edgenew256x192.pgm	32	0.015733
./resources/edgenew512x384.pgm	32	0.036826
./resources/edgenew768x768.pgm	32	0.088207
